id,sector_length,tmag,RAD,MASS,teff
156619134.0,1.0,11.2634,0.217866,0.18697201,3143.0
344569203.0,,11.8602,0.248376,0.21910401,3164.0
91131262.0,0.0,11.449,0.18000001,0.47,31000.0
68069.0,2.0,12.7031,0.244487,0.214917,3140.0
316134320.0,2.0,11.7522,0.25783399,0.229388,3326.0
25374751.0,2.0,11.5526,0.237468,0.207424,3286.0
273551414.0,4.0,12.7657,0.22879601,0.198287,3189.0
173095595.0,2.0,9.4360504,0.291749,0.26723099,3294.0
24292625.0,2.0,11.8832,0.26380801,0.23595101,3316.0
149598862.0,21.0,11.48,0.18000001,0.47,27500.0
32811633.0,3.0,11.663,0.221452,0.190658,3219.0
47706037.0,0.0,11.4199,0.215193,0.18424,3210.0
253050844.0,3.0,12.6872,0.22585499,0.195219,3173.0
77479212.0,2.0,12.9896,0.226806,0.196209,3220.0
46641297.0,3.0,12.9176,0.263275,0.23536301,3287.0
307520312.0,0.0,12.8957,0.262651,0.23467501,3330.0
284701226.0,4.0,11.2282,0.207306,0.176267,3277.0
158235404.0,2.0,11.285,0.18000001,0.47,31000.0
92994182.0,2.0,11.5236,0.212017,0.181014,3159.0
256364937.0,,11.8565,0.22360501,0.192884,3213.0
166933207.0,3.0,11.364,0.20200001,0.47,28000.0
243800364.0,1.0,11.2404,0.184084,0.15356299,3029.0
437041669.0,3.0,11.3586,0.18222301,0.151795,3078.0
115117598.0,1.0,12.8745,0.225519,0.19487,3121.0
407457207.0,5.0,11.5469,0.237169,0.20710699,3269.0
15552721.0,1.0,11.771,0.22674,0.196141,3292.0
207339173.0,6.0,11.4357,0.196289,0.16534901,3152.0
16530308.0,1.0,11.1683,0.213781,0.182804,3248.0
61258139.0,2.0,11.524,0.18772499,0.15704501,3135.0
229878187.0,3.0,12.6777,0.239518,0.209604,3305.0
239754073.0,4.0,12.8483,0.26026401,0.232051,3274.0
287291938.0,,9.45298,0.27794001,0.251663,3374.0
288314668.0,13.0,11.3057,0.196024,0.16509099,3153.0
70503467.0,2.0,12.9749,0.24681801,0.217425,3274.0
432484802.0,0.0,11.4176,0.189096,0.158364,3121.0
115347396.0,2.0,11.7741,0.260943,0.232797,3244.0
75626433.0,3.0,12.8633,0.251387,0.222363,3149.0
8915960.0,2.0,12.9744,0.252343,0.22340199,3198.0
359185852.0,2.0,11.2089,0.20511501,0.17407501,3143.0
252699482.0,1.0,12.6943,0.25225401,0.223304,3194.0
122574885.0,3.0,9.5089197,0.29641601,0.27253401,3458.0
447382925.0,2.0,11.3234,0.20576,0.17471901,3249.0
219119821.0,2.0,12.9204,0.25252199,0.22359601,3261.0
200322593.0,5.0,11.5045,0.197117,0.166161,3130.0
415085843.0,0.0,9.3977003,0.314055,0.29271501,3397.0
331930750.0,4.0,12.797,0.256179,0.227579,3201.0
279314127.0,2.0,12.8379,0.258434,0.23004501,3104.0
323959890.0,4.0,12.7998,0.264384,0.236586,3201.0
298093039.0,7.0,11.447,0.18000001,0.47,31000.0
262539812.0,2.0,11.8262,0.26106399,0.23293,3257.0
273864083.0,4.0,9.4834099,0.32091099,0.30060601,3588.0
297823453.0,4.0,12.7443,0.223654,0.192935,3181.0
